,,,5 Iterations (5 tar files),,,,
run_id,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,avg_gpu_util
1,181.25057935714722,12500,68.96529679703389,0.4594214603985627,12.843147208121827,1.2376587766076101,0.4467005076142132
2,172.11801838874817,12500,72.62458699569342,0.4363276377547211,14.56548223350254,1.3765389882973609,0.8934010152284264
3,172.49880361557007,12500,72.4642707,0.4374122498604247,17.88248730964467,1.3767723722506295,0.9619289340101523
4,177.11811351776123,12500,70.57437408,0.44908213070806513,18.83705583756345,1.376819891372913,1.5406091370558375
5,186.69451141357422,12500,66.95429825630721,0.47320059,27.094162436548224,1.3767848910414022,3.510152284263959
,,,,,,,
statistic,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,avg_gpu_util
mean,177.9360052585602,12500,70.31656536536886,0.4510888138398301,18.244467005076142,1.3489149839139833,1.4705583756345177
std,5.5096081774650605,12500,2.151131526681554,0.013909213950696105,4.929675132350046,0.055628192404378274,1.0774924484894688
,,,,,,,
,,,,,,,
,,,5 Iterations (8 tar files),,,,
,,,,,,,
run_id,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,
1,238.67616963386536,15500,64.94154830696903,0.4893409491074893,40.20020533880904,0.23331209374649078,
2,251.52699971199036,15500,61.62360310323819,0.5156877016384743,35.53100616016426,0.2332311548001957,
3,259.83992409706116,15500,59.652111021284384,0.5326247181001386,42.57577002053391,0.23063575070986267,
4,248.82602667808533,15500,62.29251902194651,0.5103489936499626,37.04353182751538,0.23072013619988851,
5,255.94212341308594,15500,60.560566558179566,0.5247743173791153,38.72833675564683,0.23074849968818179,
,,,,,,,
statistic,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,
mean,250.96224870681763,15500,61.814069602323535,0.514555336,38.81577002053388,0.23172952702892385,
std,7.203365875275071,15500,1.8050844395888768,0.014735474,2.449179763001503,0.001259923,
,,,,,,,
,,,5 Iterations (10 tar files),,,,
,,,,,,,
run_id,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,
1,311.4503130912781,17500,56.188737864171614,0.5663893479032812,32.867941712204036,0.2333613883819302,
2,334.5494267940521,17500,52.30916151224782,0.6084201561731502,38.74153005464483,0.23226286674457822,
3,620.3813531398773,17500,28.208455833543205,1.1287043242289503,37.45482695810562,0.23070556696212574,
4,598.7333631515503,17500,29.228369549819845,1.0890013650466837,34.94535519125683,0.23051605502547245,
5,419.72405767440796,17500,41.69405989488278,0.7634014279898833,38.668123861566485,0.23075099590697576,
,,,,,,,
statistic,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,
mean,456.96770277023313,17500,41.525756930933056,0.8311833242683898,36.53555555555556,0.23151937460421648,
std,129.88468553487306,17500,11.48816255995897,0.23635674393191056,2.2908234102409706,0.001114014,
,,,,,,,
,,,,,,,
,,,s3 webstream (5 tar files),,,,
,,,,,,,
run_id,total_time,total_images,images_per_sec,avg_data_load_time,avg_cpu,avg_ram,
1,4628.763823,12500,4.232,0.5663893479032812,32.867941712204036,0.2333613883819302,
