run_id	total_time	total_images	images_per_sec	avg_data_load_time	avg_cpu	avg_ram	avg_gpu_util
1	150.25057935714722	10000	68.96529679703389	0.4594214603985627	12.843147208121827	1.2376587766076101	0.4467005076142132
2	152.11801838874817	10000	72.62458699569342	0.4363276377547211	14.56548223350254	1.3765389882973609	0.8934010152284264
3	152.49880361557007	10000	72.4642707	0.4374122498604247	17.88248730964467	1.3767723722506295	0.9619289340101523
4	157.11811351776123	10000	70.57437408	0.44908213070806513	18.83705583756345	1.376819891372913	1.5406091370558375
5	166.69451141357422	10000	66.95429825630721	0.47320059	27.094162436548224	1.3767848910414022	3.510152284263959
							
statistic	total_time	total_images	images_per_sec	avg_data_load_time	avg_cpu	avg_ram	avg_gpu_util
mean	158.9360052585602	10000	70.31656536536886	0.4510888138398301	18.244467005076142	1.3489149839139833	1.4705583756345177
std	5.5096081774650605	10000	2.151131526681554	0.013909213950696105	4.929675132350046	0.055628192404378274	1.0774924484894688
